"","Date","Symbol","Volatility","Lag.return"
"1201134","2017-07-12","NXPI",0.00199983609346674,-0.000640524292585987
"1201135","2017-07-13","NXPI",0.00269584356904,-0.000732550456029379
"1201136","2017-07-14","NXPI",0.00172937328131506,0.000366342306785228
"1201137","2017-07-17","NXPI",0.00158930340805363,0.00173827810913085
"1201138","2017-07-18","NXPI",0.00174252519131066,0.000456892150619836
"1201139","2017-07-19","NXPI",0.00129461192951432,9.13812655305435e-05
"1201140","2017-07-20","NXPI",0.00228920521174689,0.00127818323992646
"1201141","2017-07-21","NXPI",0.00162245605594396,0.00100315189276046
"1201142","2017-07-24","NXPI",0.000988595426423674,0.00136632098577305
"1201143","2017-07-25","NXPI",0.002296095209162,-0.00282573957150678
"1201144","2017-07-26","NXPI",0.000787378840652527,0.00145941858573373
"1201145","2017-07-27","NXPI",0.00258792426860411,0.00200328988244092
"1201146","2017-07-28","NXPI",0.00217325692511815,0.0037226722881023
"1201147","2017-07-31","NXPI",0.00193671034153614,-0.00108809512472607
"1201148","2017-08-01","NXPI",0.00454174739574454,0.000997511838137122
"1201149","2017-08-02","NXPI",0.00207304982591817,0.00695479154292311
"1201150","2017-08-03","NXPI",0.00394483415729374,-0.00198217224046893
"1201151","2017-08-04","NXPI",0.00616423947892301,-0.0019860401075249
"1201152","2017-08-07","NXPI",0.00458109929894988,0.0157793707229983
"1201153","2017-08-08","NXPI",0.00355672042821813,0.00479192435374642
"1201154","2017-08-09","NXPI",0.0019359548205891,0.000177075969699736
"1201155","2017-08-10","NXPI",0.00267737214393667,0.000973087891227742
"1201156","2017-08-11","NXPI",0.00280581551390234,-0.00861417870758441
"1201157","2017-08-14","NXPI",0.00295037380123703,0.000713215095933251
"1201158","2017-08-15","NXPI",0.00174600107584597,0.00284798789822194
"1201159","2017-08-16","NXPI",0.00187901659061387,0.00275132359124353
"1201160","2017-08-17","NXPI",0.00267209694763456,-0.000354586609870644
"1201161","2017-08-18","NXPI",0.0013741782207622,-0.00284116049940319
"1201162","2017-08-21","NXPI",0.00285129819024961,-0.000177879002992931
"1201163","2017-08-22","NXPI",0.0024516938321012,-0.000889666216664864
"1201164","2017-08-23","NXPI",0.000629974381844809,0
"1201165","2017-08-24","NXPI",0.00271635693225598,-0.000445096130417433
"1201166","2017-08-25","NXPI",0.00274491648405766,-0.00258571682401243
"1201167","2017-08-28","NXPI",0.00406702553454221,0.00196219484392923
"1201168","2017-08-29","NXPI",0.00236716218286211,0.00302488071636464
"1201169","2017-08-30","NXPI",0.00175455053105032,-0.00231236441888338
"1201170","2017-08-31","NXPI",0.00319265628306475,0.000801067798183119
"1201171","2017-09-01","NXPI",0.00237761011001874,0.0049698146050261
"1201172","2017-09-05","NXPI",0.00343152193825797,-0.000531280969121362
"1201173","2017-09-06","NXPI",0.00464569307427104,-0.00426064338462506
"1201174","2017-09-07","NXPI",0.00301092460541606,-0.00231538534926479
"1201175","2017-09-08","NXPI",0.00193710599523154,0.00444801003537965
"1201176","2017-09-11","NXPI",0.00275221254578969,-0.00320057705297572
"1201177","2017-09-12","NXPI",0.000836291514256613,0.00222370554798168
"1201178","2017-09-13","NXPI",0.00124141659905999,0.00204141308785477
"1201179","2017-09-14","NXPI",0.00268144910074131,-0.00133092188155892
"1201180","2017-09-15","NXPI",0.00176276154461931,-0.00204413463869635
"1201181","2017-09-18","NXPI",0.00259352487676261,0.00390690264476934
"1201182","2017-09-19","NXPI",0.00137630842744217,0.0013284466349921
"1201183","2017-09-20","NXPI",0.00228710479157216,-0.000619713145002088
"1201184","2017-09-21","NXPI",0.00294052567350103,-0.00328199270235885
"1201185","2017-09-22","NXPI",0.00168621565868745,0.00150928395251526
"1201186","2017-09-25","NXPI",0.00153759180817303,-0.000709991428812451
"1201187","2017-09-26","NXPI",0.00181593768538382,-0.00195504570482363
"1201188","2017-09-27","NXPI",0.00247808857009057,-0.000444818924187018
"1201189","2017-09-28","NXPI",0.00272607800477481,0.00319858647285098
"1201190","2017-09-29","NXPI",0.00349075671435952,0.00124112946659594
"1201191","2017-10-02","NXPI",0.00337149640690218,0.001947191199414
"1201192","2017-10-03","NXPI",0.00250810273542545,0.000265296927534742
"1201193","2017-10-04","NXPI",0.00374103511668998,0.00211937433809961
"1201194","2017-10-05","NXPI",0.00163508145316913,0.00308273881859478
"1201195","2017-10-06","NXPI",0.00320930061141245,-0.000263853111846402
"1201196","2017-10-09","NXPI",0.0035316799952592,0.00237224243677936
"1201197","2017-10-10","NXPI",0.00394095170274203,0.00498972200669545
"1201198","2017-10-11","NXPI",0.00387859390930228,0.00418267744641376
"1201199","2017-10-12","NXPI",0.00337570915524739,0.00399201334014787
"1201200","2017-10-13","NXPI",0.00280138562300701,-0.00242801697531636
"1201201","2017-10-16","NXPI",0.00351156140788929,-8.68429459783826e-05
"1201202","2017-10-17","NXPI",0.00141970714813438,-0.00199900746180681
"1201203","2017-10-18","NXPI",0.00234520331744912,0.00182536519762522
"1201204","2017-10-19","NXPI",0.00230544350360563,0.00182203930955982
"1201205","2017-10-20","NXPI",0.00315654653341259,0.00112624880241086
"1201206","2017-10-23","NXPI",0.00247410992713483,0.00337122156930647
"1201207","2017-10-24","NXPI",0.00329077446440626,0.00447739920706347
"1201208","2017-10-25","NXPI",0.00329498733791454,0.00334490972330226
"1201209","2017-10-26","NXPI",0.00630529763941266,-0.00257204405619582
"1201210","2017-10-27","NXPI",0.00288188778744672,0.00111539527219318
"1201211","2017-10-30","NXPI",0.00386574520274501,0.00265465841656631
"1201212","2017-10-31","NXPI",0.00290629839455397,-0.00171186333945172
"1201213","2017-11-01","NXPI",0.00488656345148801,0.00273761558650065
"1201214","2017-11-02","NXPI",0.00662029388731425,0.0021335616669429
"1201215","2017-11-03","NXPI",0.0400309093773455,0.00136306062387792
"1201216","2017-11-06","NXPI",0.0067463398524073,-0.020991845200041
"1201217","2017-11-07","NXPI",0.00566541156284754,0.0146719175729615
"1201218","2017-11-08","NXPI",0.00768747516682724,-0.000514161956124859
"1201219","2017-11-09","NXPI",0.00881666428753245,-0.00274684571182515
"1201220","2017-11-10","NXPI",0.00605927421957983,-0.00889277439448932
"1201221","2017-11-13","NXPI",0.00321946493423042,0.00639702640688888
"1201222","2017-11-14","NXPI",0.00566889915879422,-0.0034527571459817
"1201223","2017-11-15","NXPI",0.00372828363890435,-0.00129787190953845
"1201224","2017-11-16","NXPI",0.0050826140021609,-0.00433840159859766
"1201225","2017-11-17","NXPI",0.00299346832950664,0.00165083176976744
"1201226","2017-11-20","NXPI",0.00436475339825312,0.00268756982883023
"1201227","2017-11-21","NXPI",0.00276706743060812,-0.00277440523376615
"1201228","2017-11-22","NXPI",0.00475029905399551,0.0012147453957807
"1201229","2017-11-24","NXPI",0.00396922555019792,-0.00147523060594068
"1201230","2017-11-27","NXPI",0.00394007647143397,-0.00435161690498997
"1201231","2017-11-28","NXPI",0.00468046913899579,-0.00104723586167665
"1201232","2017-11-29","NXPI",0.00932045437714571,-0.00648213433657485
"1201233","2017-11-30","NXPI",0.00750288494665875,-0.00696683370233941
"1201234","2017-12-01","NXPI",0.00511758979558846,0.00344537988864424
"1201235","2017-12-04","NXPI",0.00518658696101637,0.0121840434440763
"1201236","2017-12-05","NXPI",0.00470987926336594,-0.00795977110221724
"1201237","2017-12-06","NXPI",0.00985299601900987,-0.00105441311178467
"1201238","2017-12-07","NXPI",0.00535200496060693,0.00508596173834164
"1201239","2017-12-08","NXPI",0.00434317428524783,0.00697288125981732
"1201240","2017-12-11","NXPI",0.0050900838830206,0.00138880035672617
"1201241","2017-12-12","NXPI",0.00432074219732926,0.00475919583794759
"1201242","2017-12-13","NXPI",0.00202636448798418,-0.00172798515377881
"1201243","2017-12-14","NXPI",0.00283609688304564,0.00362536585662365
"1201244","2017-12-15","NXPI",0.00465353765675135,-0.00155212852753817
"1201245","2017-12-18","NXPI",0.00416805417335513,0.00404772743454274
"1201246","2017-12-19","NXPI",0.00413322547184145,0.00377458149582299
"1201247","2017-12-20","NXPI",0.00281130242208145,-0.00291548800580799
"1201248","2017-12-21","NXPI",0.00187068275880518,0.00248725135284378
"1201249","2017-12-22","NXPI",0.0046525847063649,-0.000342708334542863
"1201250","2017-12-26","NXPI",0.00211059830190386,0
"1201251","2017-12-27","NXPI",0.00242372394080913,-0.00111456482827776
"1201252","2017-12-28","NXPI",0.00290382912922973,0.00102891842639075
"1201253","2017-12-29","NXPI",0.00283272274448712,0.00248214197135432
"1201254","2018-01-02","NXPI",0.00502586731250648,0.000939829873086495
"1201255","2018-01-03","NXPI",0.00488706065588929,0.0073179413957547
"1201256","2018-01-04","NXPI",0.0038441997273018,0.001101596378696
"1201257","2018-01-05","NXPI",0.00238543350165927,-0.00178003081879385
"1201258","2018-01-08","NXPI",0.00370653366963685,0.00152594384265381
"1201259","2018-01-09","NXPI",0.00330752013706016,0.00194639528090157
"1201260","2018-01-10","NXPI",0.00587060849336166,0.00143622017686962
"1201261","2018-01-11","NXPI",0.00430207773086664,0.00589231151042746
"1201262","2018-01-12","NXPI",0.00392666635803801,0.000838913417330112
"1201263","2018-01-16","NXPI",0.00288819610644528,0.0027634889966901
"1201264","2018-01-17","NXPI",0.00397667762470616,-0.00150640502708388
"1201265","2018-01-18","NXPI",0.00354831989348732,-0.000502682330474791
"1201266","2018-01-19","NXPI",0.00352328485409916,0.00551521137446365
"1201267","2018-01-22","NXPI",0.00359784913271951,0.0037429609425299
"1201268","2018-01-23","NXPI",0.00235659017727447,0.00521679555162713
"1201269","2018-01-24","NXPI",0.0048734627429508,-0.00190140475293266
"1201270","2018-01-25","NXPI",0.002905013745075,-0.00323235450795512
"1201271","2018-01-26","NXPI",0.0044981562764211,-0.00216074330320826
"1201272","2018-01-29","NXPI",0.00623831060203997,0.00116404264874248
"1201273","2018-01-30","NXPI",0.00281727232754185,0.00174359058161677
"1201274","2018-01-31","NXPI",0.00461094185208646,-0.00282442424236962
"1201275","2018-02-01","NXPI",0.00452602823763684,0.000914651965065794
"1201276","2018-02-02","NXPI",0.00383931681088096,0.00811198344360342
"1201277","2018-02-05","NXPI",0.0127880437221398,-0.00562171031538927
"1201278","2018-02-06","NXPI",0.00905211372850274,-0.0203516111126048
"1201279","2018-02-07","NXPI",0.00832249266662436,-0.00033850313309447
"1201280","2018-02-08","NXPI",0.01322168226596,-0.0148365428288102
"1201281","2018-02-09","NXPI",0.0105341382866087,-0.0040456367497832
"1201282","2018-02-12","NXPI",0.00543801172870305,-0.00138100886152426
"1201283","2018-02-13","NXPI",0.00661371780052155,0.00654274146327527
"1201284","2018-02-14","NXPI",0.00891585475969194,-0.00292175141600026
"1201285","2018-02-15","NXPI",0.00764864937909094,-0.0114247367631908
"1201286","2018-02-16","NXPI",0.0109024320017326,0.0176018431906533
"1201287","2018-02-20","NXPI",0.00210736209369289,0.0134230359928891
"1201288","2018-02-21","NXPI",0.00162814983458145,0.0578707519544261
"1201289","2018-02-22","NXPI",0.000935360775205101,0.000318529355768149
"1201290","2018-02-23","NXPI",0.0019145670493872,0.000875417758507524
"1201291","2018-02-26","NXPI",0.00567041745072585,-0.00215008357904889
"1201292","2018-02-27","NXPI",0.00253166296662564,-0.00784320427976404
"1201293","2018-02-28","NXPI",0.000768354415227346,0.00152545042579888
"1201294","2018-03-01","NXPI",0.00614140948603774,8.02385466096567e-05
"1201295","2018-03-02","NXPI",0.00425516502470984,-0.007165083327906
"1201296","2018-03-05","NXPI",0.00330558161102997,0.00258210184523033
"1201297","2018-03-06","NXPI",0.00545913686893927,0.00554509762498956
"1201298","2018-03-07","NXPI",0.00275348201828855,-0.00304998432881121
"1201299","2018-03-08","NXPI",0.00255714628434469,-0.00499640612164765
"1201300","2018-03-09","NXPI",0.00368690209116845,-0.00064653172153406
"1201301","2018-03-12","NXPI",0.00367737614849006,-0.000161667421229694
"1201302","2018-03-13","NXPI",0.00890601220214846,-0.000485220857505908
"1201303","2018-03-14","NXPI",0.0126525860513076,-0.00804069707244359
"1201304","2018-03-15","NXPI",0.00678772804193807,-0.00269460173045033
"1201305","2018-03-16","NXPI",0.00810389198205047,-0.00344013606380056
"1201306","2018-03-19","NXPI",0.00966542197885283,0.0030311967726071
"1201307","2018-03-20","NXPI",0.00236535063674786,0.00310354102164379
"1201308","2018-03-21","NXPI",0.00433388925185418,0.00382535141834062
"1201309","2018-03-22","NXPI",0.00605946924380016,-0.00930390618169596
"1201310","2018-03-23","NXPI",0.0106451600272053,-0.00856395984470826
"1201311","2018-03-26","NXPI",0.00540334205728645,-0.00605531049097419
"1201312","2018-03-27","NXPI",0.00588381016490805,0.0117453637342466
"1201313","2018-03-28","NXPI",0.0201676562862987,-0.000740377348853016
"1201314","2018-03-29","NXPI",0.0133421056095691,-0.0442497500151813
"1201315","2018-04-02","NXPI",0.011924321342705,0.00634485414995645
"1201316","2018-04-03","NXPI",0.00607389194467257,-0.0153305798989773
"1201317","2018-04-04","NXPI",0.0133024367479327,0.010275118820088
"1201318","2018-04-05","NXPI",0.0115234433877979,-0.00845418544822962
"1201319","2018-04-06","NXPI",0.00835014194976614,-0.00564704622557599
"1201320","2018-04-09","NXPI",0.00681018664257935,-0.00918999433201506
"1201321","2018-04-10","NXPI",0.0103803732355257,0.00534918609453516
"1201322","2018-04-11","NXPI",0.0102999076044495,0.0196586049587868
"1201323","2018-04-12","NXPI",0.0205204727519076,-0.00627988956716941
"1201324","2018-04-13","NXPI",0.0181143923870507,-0.0148665995489301
"1201325","2018-04-16","NXPI",0.00509131447711509,-0.00641446534488743
"1201326","2018-04-17","NXPI",0.00685902966167817,-0.00539180692658814
"1201327","2018-04-18","NXPI",0.00625167496997343,0.00292050141679745
"1201328","2018-04-19","NXPI",0.0146373556406224,-0.0015034784808039
"1201329","2018-04-20","NXPI",0.0285693407586594,-0.0528829586753963
"1201330","2018-04-23","NXPI",0.0186476161244653,-0.0190284249792327
"1201331","2018-04-24","NXPI",0.0201832292768878,-0.0190098212958105
"1201332","2018-04-25","NXPI",0.0148201127165055,-0.0142524777281929
"1201333","2018-04-26","NXPI",0.0188533580510993,-0.0051256557675341
"1201334","2018-04-27","NXPI",0.0171268414744242,0.0127652501315447
"1201335","2018-04-30","NXPI",0.00959237357517959,0.0279974385841264
"1201336","2018-05-01","NXPI",0.010610073421195,-0.00475512063600636
"1201337","2018-05-02","NXPI",0.0136021638232803,-0.00871280981879696
"1201338","2018-05-03","NXPI",0.029220942614558,-0.0122878683040453
"1201339","2018-05-04","NXPI",0.0264383810073618,-0.106312860730751
"1201340","2018-05-07","NXPI",0.0118237953799553,0.0822722700224539
"1201341","2018-05-08","NXPI",0.0155268870510367,-0.0183158960855616
"1201342","2018-05-09","NXPI",0.00596165600160071,0.0033460292922074
"1201343","2018-05-10","NXPI",0.00348209322112353,-0.00151954165537038
"1201344","2018-05-11","NXPI",0.00735749773739375,0.00656801759782244
"1201345","2018-05-14","NXPI",0.0416133590948515,-0.00282399355591423
"1201346","2018-05-15","NXPI",0.0176382993616403,0.111964215393987
"1201347","2018-05-16","NXPI",0.0194254410128139,-0.0062502564011977
"1201348","2018-05-17","NXPI",0.0451278707505555,-0.0110559554347969
"1201349","2018-05-18","NXPI",0.0342064369267426,-0.0197640142194313
"1201350","2018-05-21","NXPI",0.0115270195486052,0.0395954689759277
"1201351","2018-05-22","NXPI",0.0134436012498604,0.0321736875881138
"1201352","2018-05-23","NXPI",0.011987979092885,0.00704011909046631
"1201353","2018-05-24","NXPI",0.0204018613016172,-0.0255265472359723
"1201354","2018-05-25","NXPI",0.0199183076477525,-0.00928330233285557
"1201355","2018-05-29","NXPI",0.0188762924708336,0.0462631659949944
